DATE,PRCP
2005,11.69
2006,13.96
2007,7.04
2008,8.48
2009,9.08
2010,16.54
2011,10.93
2012,9.99
2013,3.02
2014,7.47
2015,9
2016,13.67
2017,13.2
2018,8.66
2019,12.42
2020,6.18
